time,flux,flux_err
2459072.022381,1.0010095739664353,0.001389
2459072.023593,0.999062573966435,0.001084
2459072.025705,0.9984265739664351,0.001089
2459072.026918,0.9982255739664351,0.001089
2459072.02813,1.0008625739664352,0.001093
2459072.029342,0.9997365739664351,0.001092
2459072.030553,0.9984855739664351,0.001092
2459072.031764,0.9991815739664351,0.001089
2459072.032976,0.9990665739664351,0.001092
2459072.034186,1.0016825739664352,0.001092
2459072.035398,1.0009945739664352,0.001093
2459072.036609,0.9998395739664351,0.001094
2459072.03782,1.0013155739664352,0.001094
2459072.039032,1.0036525739664353,0.001102
2459072.040243,0.999355573966435,0.001093
2459072.041455,0.999946573966435,0.001094
2459072.042666,0.999398573966435,0.001095
2459072.043881,0.9966795739664351,0.001092
2459072.045096,0.9991985739664351,0.001094
2459072.046307,1.0029825739664353,0.001099
2459072.047517,0.9995265739664351,0.001093
2459072.048731,1.0047875739664351,0.001098
2459072.049942,0.9994125739664351,0.001095
2459072.051154,1.0032815739664351,0.0011
2459072.052363,1.0050455739664352,0.001098
2459072.053575,1.0011185739664352,0.001099
2459072.054787,0.9979415739664351,0.0011
2459072.055996,1.0017105739664351,0.001099
2459072.057208,1.0032815739664351,0.001102
2459072.058418,0.9997505739664351,0.001098
2459072.05963,0.9979625739664351,0.001095
2459072.060841,1.0018915739664351,0.001103
2459072.062053,0.997506573966435,0.001098
2459072.063265,0.9960265739664351,0.001089
2459072.064477,0.997749573966435,0.001091
2459072.06569,0.9973205739664351,0.001093
2459072.066902,1.0045485739664353,0.001096
2459072.068119,0.9972185739664351,0.001095
2459072.069335,1.000809573966435,0.001098
2459072.070551,1.0008875739664351,0.00109
2459072.071763,1.0012035739664351,0.001088
2459072.072975,0.9997095739664351,0.001084
2459072.074192,0.9999035739664351,0.001084
2459072.075404,1.0003555739664352,0.001083
2459072.076616,0.9998735739664351,0.001082
2459072.077833,1.0015945739664351,0.001086
2459072.079046,1.0043585739664351,0.001088
2459072.080258,1.000094573966435,0.001088
2459072.08147,0.998521573966435,0.001079
2459072.082683,0.9969635739664351,0.001077
2459072.083897,1.0051215739664352,0.001081
2459072.085109,0.9948645739664351,0.001075
2459072.086326,0.9967855739664351,0.001078
2459072.087542,0.9961495739664351,0.001079
2459072.088754,0.9968315739664351,0.001086
2459072.089967,0.9998395739664351,0.001088
2459072.091179,0.9950655739664351,0.001079
2459072.092391,0.999139573966435,0.001082
2459072.093603,1.0004595739664353,0.00108
2459072.094819,1.0012085739664351,0.001084
2459072.096036,0.9993685739664351,0.001087
2459072.097252,0.9999665739664351,0.001089
2459072.098469,0.9998485739664351,0.0011
2459072.099685,0.9945455739664351,0.001118
2459072.100896,0.999004573966435,0.001138
2459072.102112,0.9989645739664351,0.001186
2459072.103327,0.9975675739664351,0.00114
2459072.104539,0.9969035739664351,0.001121
2459072.105751,0.9983925739664351,0.001127
2459072.106964,0.995583573966435,0.001159
2459072.108179,0.9991025739664351,0.001141
2459072.109391,1.0009975739664352,0.001154
2459072.110607,0.9997825739664351,0.001152
2459072.111823,0.9965435739664351,0.001172
2459072.113036,0.9981755739664351,0.001148
2459072.114251,0.997328573966435,0.001135
2459072.115467,0.9956345739664351,0.001127
2459072.116684,0.9996925739664351,0.001118
2459072.117895,0.9968235739664351,0.001096
2459072.119107,0.9981185739664351,0.001092
2459072.121541,0.9972735739664351,0.001077
2459072.122753,0.9970645739664351,0.001078
2459072.123972,0.9986695739664351,0.001081
2459072.125188,0.999089573966435,0.00108
2459072.126404,1.0005525739664352,0.001098
2459072.12762,0.9972925739664351,0.001095
2459072.128832,1.0051315739664353,0.0011
2459072.130045,0.9986705739664351,0.001084
2459072.131259,1.0003395739664351,0.001083
2459072.132473,0.9994565739664351,0.001084
2459072.133688,0.9945115739664351,0.00108
2459072.134901,0.9945695739664351,0.001081
2459072.136117,0.998305573966435,0.00109
2459072.137333,0.9960655739664351,0.001109
2459072.138547,0.993591573966435,0.001113
2459072.139762,0.9919475739664351,0.001119
2459072.140977,0.9959485739664351,0.001123
2459072.14219,0.9923205739664351,0.001126
2459072.143406,0.9946985739664351,0.001125
2459072.144623,0.9927775739664351,0.00112
2459072.145839,1.0011225739664351,0.001123
2459072.147055,0.9971715739664351,0.001131
2459072.148267,0.9964285739664351,0.001135
2459072.149478,0.9974635739664351,0.00114
2459072.150697,0.9949645739664351,0.001142
2459072.15191,0.9931795739664351,0.001142
2459072.153126,0.9945865739664351,0.001154
2459072.154341,0.9944245739664351,0.001183
2459072.155551,0.9977565739664351,0.001185
2459072.156768,0.9938895739664351,0.001164
2459072.157985,0.9968445739664351,0.001149
2459072.159201,0.9933515739664351,0.001143
2459072.160419,0.9973655739664351,0.001162
2459072.161634,0.997027573966435,0.001162
2459072.162846,0.9960405739664351,0.001182
2459072.164061,0.9949905739664351,0.001207
2459072.165271,0.9951455739664351,0.001202
2459072.166487,0.9920415739664351,0.001196
2459072.167703,1.0012645739664352,0.001209
2459072.168917,0.9943465739664351,0.001197
2459072.170136,0.997749573966435,0.001199
2459072.171349,0.9942885739664351,0.00122
2459072.172559,0.9959555739664351,0.00121
2459072.173774,0.9969755739664351,0.001242
2459072.174991,0.9978325739664351,0.001215
2459072.176207,0.995969573966435,0.001208
2459072.177424,0.9940415739664351,0.001207
2459072.178635,0.9953735739664351,0.001233
2459072.179846,0.9961155739664351,0.00124
2459072.181057,0.9935015739664351,0.001217
2459072.182267,0.9948555739664351,0.001233
2459072.184689,0.9940445739664351,0.001209
2459072.185901,0.9945975739664351,0.001226
2459072.187117,0.9904615739664351,0.001237
2459072.188333,0.9931265739664351,0.00124
2459072.189545,1.0012115739664351,0.001236
2459072.190756,0.9940915739664351,0.001224
2459072.191972,0.9913695739664351,0.0012
2459072.193188,0.9930155739664351,0.00119
2459072.1944,0.9966015739664351,0.001201
2459072.195613,0.9967635739664351,0.001217
2459072.196827,0.9956885739664351,0.001231
2459072.198038,0.9953165739664351,0.001234
2459072.199249,0.993803573966435,0.001233
2459072.200459,0.9952365739664351,0.001231
2459072.201669,0.9963895739664351,0.001246
2459072.20288,0.9969905739664351,0.001249
2459072.204091,0.9966845739664351,0.001229
2459072.205302,0.9960175739664351,0.001219
2459072.206513,0.9922505739664351,0.001209
2459072.207723,0.992066573966435,0.001216
2459072.208935,0.9941035739664351,0.001226
2459072.210152,0.9940685739664351,0.00124
2459072.211363,0.9956365739664351,0.001232
2459072.212578,0.991541573966435,0.001218
2459072.213794,0.9907205739664351,0.001205
2459072.215009,0.9966545739664351,0.001208
2459072.216228,0.9952065739664351,0.001204
2459072.217443,0.9948705739664351,0.001185
2459072.21866,0.9918245739664351,0.001174
2459072.219876,0.9908305739664351,0.001192
2459072.221093,0.9962275739664351,0.001189
2459072.222308,0.9969025739664351,0.00117
2459072.22352,0.9939045739664351,0.001167
2459072.224736,0.990506573966435,0.001159
2459072.225952,0.995317573966435,0.001162
2459072.227167,0.9988815739664351,0.001155
2459072.228383,0.9926485739664351,0.001135
2459072.2296,0.996664573966435,0.001141
2459072.230815,0.9959345739664351,0.001141
2459072.232032,0.9967945739664351,0.001135
2459072.233248,0.9989745739664351,0.001157
2459072.234463,0.9963195739664351,0.001151
2459072.235675,0.9989325739664351,0.001143
2459072.236896,0.9918365739664351,0.001132
2459072.238114,0.9971195739664351,0.001141
2459072.23933,1.0005195739664352,0.001137
2459072.240546,0.9971555739664351,0.001126
2459072.241756,0.995108573966435,0.001127
2459072.242968,0.995788573966435,0.001091
2459072.24418,0.9974515739664351,0.001093
2459072.245396,1.000078573966435,0.00109
2459072.246609,0.9976045739664351,0.001073
2459072.247821,0.998753573966435,0.00108
2459072.249034,0.9997615739664351,0.001074
2459072.250253,0.997166573966435,0.001066
2459072.251469,0.9981135739664351,0.001075
2459072.252681,0.9949685739664351,0.001069
2459072.253893,0.9980455739664351,0.001071
2459072.255109,0.9972155739664351,0.001066
2459072.256322,1.000145573966435,0.001071
2459072.257535,0.9955455739664351,0.001069
2459072.258747,1.0015365739664353,0.001078
2459072.259958,0.9994345739664351,0.001067
2459072.261174,0.998606573966435,0.001069
2459072.262386,0.9976025739664351,0.001075
2459072.263603,0.9964955739664351,0.001066
2459072.264815,1.0038815739664353,0.001089
