parameter	median	err_up	err_down
lam_p1	-75.96406969994193	15.183505108587937	14.215346635125655
r_star	0.8097185866715695	0.008024018722762816	0.0076635041816847105
m_star	0.8405794114326653	0.027925037593092394	0.02961393984242766
Prot_star	30.159750710532656	0.9824483371182282	0.9805432568087689
cosi_star	0.7939059830837535	0.1117381177836394	0.2109777200063362
per_p1	5.924269725199458	9.433076302300947e-07	9.032099228534207e-07
t0_p1	2456870.958270135	0.0002703187055885792	0.00027910713106393814
b_p1	0.4589365426077899	0.06391940113675215	0.08919650806592133
p_p1	0.10059263917651931	0.001452232663999617	0.0016891046508031027
e_p1	0.2717472712545431	0.03510814823447561	0.03500328660472635
omega_p1	192.99953497325757	7.883549614974811	9.744802022973516
K_p1	18.836054162456215	2.465858105527719	2.318533797059313
q1_TESSY1_TESSY2	0.3665407346913721	0.21989594947018548	0.14929710320766926
q2_TESSY1_TESSY2	0.26666381892561003	0.2528726013786751	0.15957222588111863
gamma_HARPS	-13010.583645838182	1.6091276436873159	1.6197445866619091
q1_ESPRESSO	0.5134741873729278	0.3173337964107281	0.32660353196874065
q2_ESPRESSO	0.5330659166693409	0.3177752564452365	0.3435589799633244
beta_ESPRESSO	5.201032863916509	1.8265901636893664	1.8384374344400234
gamma_ESPRESSO	-12999.37460518369	0.9477493391877942	0.4631167361239932
sigma_TESSY1	0.0		
sigma_TESSY2	0.0		
sigma_HARPS	0.0		
sigma_ESPRESSO	0.0		
gammadot	0.0		
gammadotdot	0.0		
u1_TESSY1	0.32721691993471214	0.16985945149379927	0.16886315464179222
u2_TESSY1	0.28496355541339474	0.3125103128178995	0.30402333800642833
u1_TESSY2	0.32721691993471214	0.16985945149379927	0.16886315464179222
u2_TESSY2	0.28496355541339474	0.3125103128178995	0.30402333800642833
u1_ESPRESSO	0.6465926819490136	0.5651230034647593	0.42658430177842144
u2_ESPRESSO	-0.035090506577727144	0.4559795978916884	0.41302579097578673
rho_star	2232.6870212800522	103.66699114035146	103.68921409831319
aRs_p1	16.060281418504367	0.24481836776477195	0.2525680803176211
inc_p1	88.33814696329112	0.27872061520110947	0.1795883345999698
veq_star	1.3582713476649337	0.04742160173992893	0.04419583057264154
vsini_star	0.8269164740595089	0.27378357408559595	0.24760720488172394
psi_p1	80.43479041373277	8.417207879494796	8.543376165504597
