time,data,error,instrument,type
2459940.625,-8.768212669980956,10.0,ESPRESSO,RM
2459940.628472222,-2.9116916702494255,10.0,ESPRESSO,RM
2459940.631944444,1.8354102768456761,10.0,ESPRESSO,RM
2459940.635416666,1.1049415000072547,10.0,ESPRESSO,RM
2459940.638888888,11.242620430403578,10.0,ESPRESSO,RM
2459940.64236111,-3.796026723146411,10.0,ESPRESSO,RM
2459940.645833332,6.241012397805633,10.0,ESPRESSO,RM
2459940.649305554,-11.892136144558837,10.0,ESPRESSO,RM
2459940.652777776,-15.587894353060587,10.0,ESPRESSO,RM
2459940.656249998,12.998767327809663,10.0,ESPRESSO,RM
2459940.65972222,3.8704679690938955,10.0,ESPRESSO,RM
2459940.663194442,-0.5128252640183848,10.0,ESPRESSO,RM
2459940.666666664,-3.1936497559024106,10.0,ESPRESSO,RM
2459940.670138886,4.939848537806052,10.0,ESPRESSO,RM
2459940.673611108,-8.996041107340691,10.0,ESPRESSO,RM
2459940.67708333,-25.598339500352868,10.0,ESPRESSO,RM
2459940.6805555522,-3.9884638675929516,10.0,ESPRESSO,RM
2459940.6840277743,6.240937041199114,10.0,ESPRESSO,RM
2459940.6874999963,-16.502972185834697,10.0,ESPRESSO,RM
2459940.6909722183,-9.799528309063735,10.0,ESPRESSO,RM
2459940.6944444403,16.080479077898865,10.0,ESPRESSO,RM
2459940.6979166623,5.315943807248632,10.0,ESPRESSO,RM
2459940.7013888843,-5.763248837001958,10.0,ESPRESSO,RM
2459940.7048611064,6.465807349793521,10.0,ESPRESSO,RM
2459940.7083333284,27.122104345621985,10.0,ESPRESSO,RM
2459940.7118055504,25.000324962736535,10.0,ESPRESSO,RM
2459940.7152777724,48.353954451081314,10.0,ESPRESSO,RM
2459940.7187499944,74.69178625909578,10.0,ESPRESSO,RM
2459940.7222222164,55.463644277653415,10.0,ESPRESSO,RM
2459940.7256944384,80.15113463697416,10.0,ESPRESSO,RM
2459940.7291666605,63.63825694541342,10.0,ESPRESSO,RM
2459940.7326388825,85.53660460715426,10.0,ESPRESSO,RM
2459940.7361111045,73.59532151627117,10.0,ESPRESSO,RM
2459940.7395833265,63.64110075818162,10.0,ESPRESSO,RM
2459940.7430555485,65.49026418346978,10.0,ESPRESSO,RM
2459940.7465277705,70.75555206076841,10.0,ESPRESSO,RM
2459940.7499999925,31.08813947014443,10.0,ESPRESSO,RM
2459940.7534722146,42.55539500820432,10.0,ESPRESSO,RM
2459940.7569444366,35.679381829530655,10.0,ESPRESSO,RM
2459940.7604166586,12.05397570978793,10.0,ESPRESSO,RM
2459940.7638888806,21.563071296711037,10.0,ESPRESSO,RM
2459940.7673611026,-7.187594350097361,10.0,ESPRESSO,RM
2459940.7708333246,-22.464159207702682,10.0,ESPRESSO,RM
2459940.7743055467,-18.160466943063287,10.0,ESPRESSO,RM
2459940.7777777687,-39.37950578849343,10.0,ESPRESSO,RM
2459940.7812499907,-34.89591803373128,10.0,ESPRESSO,RM
2459940.7847222127,-42.07108524118725,10.0,ESPRESSO,RM
2459940.7881944347,-64.2537848475398,10.0,ESPRESSO,RM
2459940.7916666567,-56.559269903739846,10.0,ESPRESSO,RM
2459940.7951388787,-79.07312305036272,10.0,ESPRESSO,RM
2459940.7986111008,-79.37608428210875,10.0,ESPRESSO,RM
2459940.802083323,-80.87058432751677,10.0,ESPRESSO,RM
2459940.805555545,-90.22677512940768,10.0,ESPRESSO,RM
2459940.809027767,-75.32054421889451,10.0,ESPRESSO,RM
2459940.812499989,-67.01149080916288,10.0,ESPRESSO,RM
2459940.815972211,-54.07565523232808,10.0,ESPRESSO,RM
2459940.819444433,-38.30905643461345,10.0,ESPRESSO,RM
2459940.822916655,24.534881507875504,10.0,ESPRESSO,RM
2459940.826388877,12.183039175563076,10.0,ESPRESSO,RM
2459940.829861099,8.768761618602325,10.0,ESPRESSO,RM
2459940.833333321,-5.996743360974693,10.0,ESPRESSO,RM
2459940.836805543,-3.492994035480463,10.0,ESPRESSO,RM
2459940.840277765,-1.068616092585194,10.0,ESPRESSO,RM
2459940.843749987,17.093422929806156,10.0,ESPRESSO,RM
2459940.847222209,12.979786035881649,10.0,ESPRESSO,RM
2459940.850694431,18.62942088733561,10.0,ESPRESSO,RM
2459940.854166653,-4.675293456248438,10.0,ESPRESSO,RM
2459940.857638875,-7.189548715207091,10.0,ESPRESSO,RM
2459940.861111097,12.354753068472677,10.0,ESPRESSO,RM
2459940.864583319,-11.50122945142285,10.0,ESPRESSO,RM
2459940.868055541,12.608100632681317,10.0,ESPRESSO,RM
2459940.871527763,7.541238235052324,10.0,ESPRESSO,RM
