BJD,RV,RVe
2456927.791968,-13011.7,11.0
2456929.8352075,-13011.6,10.0
2456948.6743674,-13024.7,10.0
2456949.6598586,-13018.6,11.0
2456951.7476108,-12987.8,6.7
2456953.7670342,-13004.5,6.2
2456952.740441,-12998.9,7.2
2456957.864935,-13003.9,15.1
2456958.7249948,-13002.5,9.2
2456997.7037723,-13010.5,6.7
2456999.7298963,-12998.7,7.2
2457032.6121952,-13020.5,3.9
2457033.5827255,-12981.8,13.5
2457034.602241,-13001.7,11.0
2457035.5856299,-13002.5,10.0
2460277.6504624,-13012.2,7.8
2460280.6873046,-13010.4,9.2
2456955.7018086,-13028.2,5.1
2456959.7287478,-13021.8,7.8
2456959.7451835,-13014.5,6.2
2456959.7003565,-13014.7,7.8
2456959.7144885,-13004.7,8.5
2456959.7625798,-13018.9,8.4
